Name,Features (list),Features Count,Inherit from,Notes,⚛️ Матрица признаков,🗂️ Experiments
fset-1,"f_zscore_close_50,f_ret_12,f_rsi_14,f_di_diff_14,f_roc_5,close,f_hour_of_day_sin,f_vwap_dev_over_atr14,f_donchian_pos_20,f_ema20_slope,f_hour_of_day_cos,f_rsi_5",12,,,"f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21), f_ret_12 (https://www.notion.so/f_ret_12-27546556b91c8118b29fdabb2bdbb359?pvs=21), f_rsi_14 (https://www.notion.so/f_rsi_14-27546556b91c8127ab02de606ee6b851?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_roc_5 (https://www.notion.so/f_roc_5-27546556b91c8187998fdc347c5ce7c2?pvs=21), close (https://www.notion.so/close-27546556b91c8188847ee8fef74439d3?pvs=21), f_hour_of_day_sin (https://www.notion.so/f_hour_of_day_sin-27546556b91c81938107edef53a72cc1?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_ema20_slope (https://www.notion.so/f_ema20_slope-27546556b91c81cea42cf4e0747c996c?pvs=21), f_hour_of_day_cos (https://www.notion.so/f_hour_of_day_cos-27546556b91c81e2aba0dab1f1c1606a?pvs=21), f_rsi_5 (https://www.notion.so/f_rsi_5-27546556b91c81fba723c29c4810c8fa?pvs=21)",EXP_0003 (https://www.notion.so/EXP_0003-27546556b91c805eb544c0d82f8e811f?pvs=21)
fset-2,"f_zscore_close_50,f_ret_12,f_rsi_14,f_keltner_pos_20,f_di_diff_14,f_psar_trend,f_atr_14_pct,f_rolling_mean_ret_5,f_range_over_atr,f_roc_5,close,f_ret_1_z20,f_hour_of_day_sin,f_bandwidth_20,f_vwap_dev_over_atr14,f_donchian_pos_20,f_macd_12_26_9_hist,f_ema20_slope,f_hour_of_day_cos,f_rsi_5",20,,,"f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21), f_ret_12 (https://www.notion.so/f_ret_12-27546556b91c8118b29fdabb2bdbb359?pvs=21), f_rsi_14 (https://www.notion.so/f_rsi_14-27546556b91c8127ab02de606ee6b851?pvs=21), f_keltner_pos_20 (https://www.notion.so/f_keltner_pos_20-27546556b91c8141a3e5c80a6686905f?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_psar_trend (https://www.notion.so/f_psar_trend-27546556b91c8144894bf988a9399048?pvs=21), f_atr_14_pct (https://www.notion.so/f_atr_14_pct-27546556b91c817a9f94d76da3db145a?pvs=21), f_rolling_mean_ret_5 (https://www.notion.so/f_rolling_mean_ret_5-27546556b91c817f8ee5d7500fe79de6?pvs=21), f_range_over_atr (https://www.notion.so/f_range_over_atr-27546556b91c8184890ad708f22e3bbf?pvs=21), f_roc_5 (https://www.notion.so/f_roc_5-27546556b91c8187998fdc347c5ce7c2?pvs=21), close (https://www.notion.so/close-27546556b91c8188847ee8fef74439d3?pvs=21), f_ret_1_z20 (https://www.notion.so/f_ret_1_z20-27546556b91c818a81b0cc82f06ae549?pvs=21), f_hour_of_day_sin (https://www.notion.so/f_hour_of_day_sin-27546556b91c81938107edef53a72cc1?pvs=21), f_bandwidth_20 (https://www.notion.so/f_bandwidth_20-27546556b91c81a5a6efdb4b9d2295b6?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_macd_12_26_9_hist (https://www.notion.so/f_macd_12_26_9_hist-27546556b91c81c48b63ec9b1f339f90?pvs=21), f_ema20_slope (https://www.notion.so/f_ema20_slope-27546556b91c81cea42cf4e0747c996c?pvs=21), f_hour_of_day_cos (https://www.notion.so/f_hour_of_day_cos-27546556b91c81e2aba0dab1f1c1606a?pvs=21), f_rsi_5 (https://www.notion.so/f_rsi_5-27546556b91c81fba723c29c4810c8fa?pvs=21)",EXP_0004 (https://www.notion.so/EXP_0004-27646556b91c80b2bfb4df4076d352bb?pvs=21)
fset-3,"f_zscore_close_50,f_rsi_14,f_ret_24,f_di_diff_14,f_atr_14_pct,f_range_over_atr,f_return_std_20,close,f_rolling_std_ret_5,f_bandwidth_20,f_vwap_dev_over_atr14,f_adx_14,f_donchian_pos_20,f_macd_12_26_9_hist",14,,,"f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21), f_rsi_14 (https://www.notion.so/f_rsi_14-27546556b91c8127ab02de606ee6b851?pvs=21), f_ret_24 (https://www.notion.so/f_ret_24-27546556b91c8130b1dae5362e86512e?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_atr_14_pct (https://www.notion.so/f_atr_14_pct-27546556b91c817a9f94d76da3db145a?pvs=21), f_range_over_atr (https://www.notion.so/f_range_over_atr-27546556b91c8184890ad708f22e3bbf?pvs=21), f_return_std_20 (https://www.notion.so/f_return_std_20-27546556b91c818595a8fd45b81ec95d?pvs=21), close (https://www.notion.so/close-27546556b91c8188847ee8fef74439d3?pvs=21), f_rolling_std_ret_5 (https://www.notion.so/f_rolling_std_ret_5-27546556b91c818ca27de910d8566fd3?pvs=21), f_bandwidth_20 (https://www.notion.so/f_bandwidth_20-27546556b91c81a5a6efdb4b9d2295b6?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_adx_14 (https://www.notion.so/f_adx_14-27546556b91c81afb6d3fdb78fb482dd?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_macd_12_26_9_hist (https://www.notion.so/f_macd_12_26_9_hist-27546556b91c81c48b63ec9b1f339f90?pvs=21)",EXP_0005 (https://www.notion.so/EXP_0005-27646556b91c8071a2e2e9f1142ff65a?pvs=21)
fset-4,"f_zscore_close_50,f_ret_12,f_rsi_14,f_ret_24,f_ema_50,f_di_diff_14,f_psar_trend,f_ema_200,f_atr_14_pct,f_range_over_atr,f_return_std_20,f_roc_5,close,f_rolling_std_ret_5,f_bandwidth_20,f_vwap_dev_over_atr14,f_adx_14,f_donchian_pos_20,f_macd_12_26_9_hist,f_ema20_slope,f_rsi_5",21,,,"f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21), f_ret_12 (https://www.notion.so/f_ret_12-27546556b91c8118b29fdabb2bdbb359?pvs=21), f_rsi_14 (https://www.notion.so/f_rsi_14-27546556b91c8127ab02de606ee6b851?pvs=21), f_ret_24 (https://www.notion.so/f_ret_24-27546556b91c8130b1dae5362e86512e?pvs=21), f_ema_50 (https://www.notion.so/f_ema_50-27546556b91c81368aeedc2feb14fcc4?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_psar_trend (https://www.notion.so/f_psar_trend-27546556b91c8144894bf988a9399048?pvs=21), f_ema_200 (https://www.notion.so/f_ema_200-27546556b91c814c8082ff9100c3d7d0?pvs=21), f_atr_14_pct (https://www.notion.so/f_atr_14_pct-27546556b91c817a9f94d76da3db145a?pvs=21), f_range_over_atr (https://www.notion.so/f_range_over_atr-27546556b91c8184890ad708f22e3bbf?pvs=21), f_return_std_20 (https://www.notion.so/f_return_std_20-27546556b91c818595a8fd45b81ec95d?pvs=21), f_roc_5 (https://www.notion.so/f_roc_5-27546556b91c8187998fdc347c5ce7c2?pvs=21), close (https://www.notion.so/close-27546556b91c8188847ee8fef74439d3?pvs=21), f_rolling_std_ret_5 (https://www.notion.so/f_rolling_std_ret_5-27546556b91c818ca27de910d8566fd3?pvs=21), f_bandwidth_20 (https://www.notion.so/f_bandwidth_20-27546556b91c81a5a6efdb4b9d2295b6?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_adx_14 (https://www.notion.so/f_adx_14-27546556b91c81afb6d3fdb78fb482dd?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_macd_12_26_9_hist (https://www.notion.so/f_macd_12_26_9_hist-27546556b91c81c48b63ec9b1f339f90?pvs=21), f_ema20_slope (https://www.notion.so/f_ema20_slope-27546556b91c81cea42cf4e0747c996c?pvs=21), f_rsi_5 (https://www.notion.so/f_rsi_5-27546556b91c81fba723c29c4810c8fa?pvs=21)",EXP_0006 (https://www.notion.so/EXP_0006-27646556b91c80fcbe5fe89646aec225?pvs=21)
fset-0,"f_zscore_close_50,f_ret_12,f_rsi_14,f_ret_24,f_ema_50,f_keltner_pos_20,f_di_diff_14,f_psar_trend,f_ema_200,f_atr_14_pct,f_rolling_mean_ret_5,f_range_over_atr,f_return_std_20,f_roc_5,close,f_ret_1_z20,f_rolling_std_ret_5,f_hour_of_day_sin,f_bandwidth_20,f_vwap_dev_over_atr14,f_adx_14,f_donchian_pos_20,f_macd_12_26_9_hist,f_hour_of_day_cos,f_rsi_5,f_close_minus_ema_20_over_atr14,f_percentB_20,f_ret_1,f_ret_6,f_ema_10,f_ema_20,f_dow,f_ema20_slope",33,,,"f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21), f_ret_12 (https://www.notion.so/f_ret_12-27546556b91c8118b29fdabb2bdbb359?pvs=21), f_rsi_14 (https://www.notion.so/f_rsi_14-27546556b91c8127ab02de606ee6b851?pvs=21), f_ret_24 (https://www.notion.so/f_ret_24-27546556b91c8130b1dae5362e86512e?pvs=21), f_ema_50 (https://www.notion.so/f_ema_50-27546556b91c81368aeedc2feb14fcc4?pvs=21), f_keltner_pos_20 (https://www.notion.so/f_keltner_pos_20-27546556b91c8141a3e5c80a6686905f?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_psar_trend (https://www.notion.so/f_psar_trend-27546556b91c8144894bf988a9399048?pvs=21), f_ema_200 (https://www.notion.so/f_ema_200-27546556b91c814c8082ff9100c3d7d0?pvs=21), f_atr_14_pct (https://www.notion.so/f_atr_14_pct-27546556b91c817a9f94d76da3db145a?pvs=21), f_rolling_mean_ret_5 (https://www.notion.so/f_rolling_mean_ret_5-27546556b91c817f8ee5d7500fe79de6?pvs=21), f_range_over_atr (https://www.notion.so/f_range_over_atr-27546556b91c8184890ad708f22e3bbf?pvs=21), f_return_std_20 (https://www.notion.so/f_return_std_20-27546556b91c818595a8fd45b81ec95d?pvs=21), f_roc_5 (https://www.notion.so/f_roc_5-27546556b91c8187998fdc347c5ce7c2?pvs=21), close (https://www.notion.so/close-27546556b91c8188847ee8fef74439d3?pvs=21), f_ret_1_z20 (https://www.notion.so/f_ret_1_z20-27546556b91c818a81b0cc82f06ae549?pvs=21), f_rolling_std_ret_5 (https://www.notion.so/f_rolling_std_ret_5-27546556b91c818ca27de910d8566fd3?pvs=21), f_hour_of_day_sin (https://www.notion.so/f_hour_of_day_sin-27546556b91c81938107edef53a72cc1?pvs=21), f_bandwidth_20 (https://www.notion.so/f_bandwidth_20-27546556b91c81a5a6efdb4b9d2295b6?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_adx_14 (https://www.notion.so/f_adx_14-27546556b91c81afb6d3fdb78fb482dd?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_macd_12_26_9_hist (https://www.notion.so/f_macd_12_26_9_hist-27546556b91c81c48b63ec9b1f339f90?pvs=21), f_hour_of_day_cos (https://www.notion.so/f_hour_of_day_cos-27546556b91c81e2aba0dab1f1c1606a?pvs=21), f_rsi_5 (https://www.notion.so/f_rsi_5-27546556b91c81fba723c29c4810c8fa?pvs=21), f_close_minus_ema_20_over_atr14 (https://www.notion.so/f_close_minus_ema_20_over_atr14-27546556b91c803096effd028df20d01?pvs=21), f_percentB_20 (https://www.notion.so/f_percentB_20-27546556b91c8041a868f877f46d2129?pvs=21), f_ret_1 (https://www.notion.so/f_ret_1-27546556b91c809ab820c24663cb0dd2?pvs=21), f_ret_6 (https://www.notion.so/f_ret_6-27546556b91c80ada538fb862be9498c?pvs=21), f_ema_10 (https://www.notion.so/f_ema_10-27546556b91c803484b9ed94b634fc8e?pvs=21), f_ema_20 (https://www.notion.so/f_ema_20-27546556b91c806c859af06972b57a17?pvs=21), f_dow (https://www.notion.so/f_dow-27546556b91c80cb902eec4a4b1715d9?pvs=21), f_ema20_slope (https://www.notion.so/f_ema20_slope-27546556b91c81cea42cf4e0747c996c?pvs=21)","EXP_0001 (https://www.notion.so/EXP_0001-25746556b91c80fdb8c7f43721af9aaa?pvs=21), EXP_0002 (https://www.notion.so/EXP_0002-25d46556b91c80219f7ee03f109b6b88?pvs=21)"
fset-5,"f_adx_14,f_atr_14_pct,f_bandwidth_20,f_di_diff_14,f_donchian_pos_20,f_ema20_slope,f_macd_12_26_9_hist,f_range_over_atr,f_ret_12,f_ret_24,f_return_std_20,f_roc_5,f_rolling_std_ret_5,f_vwap_dev_over_atr14,f_zscore_close_50",15,,,"f_adx_14 (https://www.notion.so/f_adx_14-27546556b91c81afb6d3fdb78fb482dd?pvs=21), f_atr_14_pct (https://www.notion.so/f_atr_14_pct-27546556b91c817a9f94d76da3db145a?pvs=21), f_bandwidth_20 (https://www.notion.so/f_bandwidth_20-27546556b91c81a5a6efdb4b9d2295b6?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_ema20_slope (https://www.notion.so/f_ema20_slope-27546556b91c81cea42cf4e0747c996c?pvs=21), f_macd_12_26_9_hist (https://www.notion.so/f_macd_12_26_9_hist-27546556b91c81c48b63ec9b1f339f90?pvs=21), f_range_over_atr (https://www.notion.so/f_range_over_atr-27546556b91c8184890ad708f22e3bbf?pvs=21), f_ret_12 (https://www.notion.so/f_ret_12-27546556b91c8118b29fdabb2bdbb359?pvs=21), f_ret_24 (https://www.notion.so/f_ret_24-27546556b91c8130b1dae5362e86512e?pvs=21), f_return_std_20 (https://www.notion.so/f_return_std_20-27546556b91c818595a8fd45b81ec95d?pvs=21), f_roc_5 (https://www.notion.so/f_roc_5-27546556b91c8187998fdc347c5ce7c2?pvs=21), f_rolling_std_ret_5 (https://www.notion.so/f_rolling_std_ret_5-27546556b91c818ca27de910d8566fd3?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21)",EXP_0007 (https://www.notion.so/EXP_0007-27e46556b91c8010878cec805a166e2c?pvs=21)
