Name,Features (list),Features Count,Inherit from,Notes,⚛️ Матрица признаков,🗂️ Experiments
fset-6,"f_adx_14,f_atr_14_pct,f_bandwidth_20,f_di_diff_14,f_donchian_pos_20,f_ema20_slope,f_macd_12_26_9_hist,f_range_over_atr,f_ret_12,f_ret_24,f_return_std_20,f_roc_5,f_rolling_std_ret_5,f_vwap_dev_over_atr14,f_zscore_close_50,f_regime_trend_adx14,f_regime_bull_ema200,f_regime_highvol_atr14",18,,,"f_adx_14 (https://www.notion.so/f_adx_14-27546556b91c81afb6d3fdb78fb482dd?pvs=21), f_atr_14_pct (https://www.notion.so/f_atr_14_pct-27546556b91c817a9f94d76da3db145a?pvs=21), f_bandwidth_20 (https://www.notion.so/f_bandwidth_20-27546556b91c81a5a6efdb4b9d2295b6?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_ema20_slope (https://www.notion.so/f_ema20_slope-27546556b91c81cea42cf4e0747c996c?pvs=21), f_macd_12_26_9_hist (https://www.notion.so/f_macd_12_26_9_hist-27546556b91c81c48b63ec9b1f339f90?pvs=21), f_range_over_atr (https://www.notion.so/f_range_over_atr-27546556b91c8184890ad708f22e3bbf?pvs=21), f_ret_12 (https://www.notion.so/f_ret_12-27546556b91c8118b29fdabb2bdbb359?pvs=21), f_ret_24 (https://www.notion.so/f_ret_24-27546556b91c8130b1dae5362e86512e?pvs=21), f_return_std_20 (https://www.notion.so/f_return_std_20-27546556b91c818595a8fd45b81ec95d?pvs=21), f_roc_5 (https://www.notion.so/f_roc_5-27546556b91c8187998fdc347c5ce7c2?pvs=21), f_rolling_std_ret_5 (https://www.notion.so/f_rolling_std_ret_5-27546556b91c818ca27de910d8566fd3?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21), f_regime_trend_adx14 (https://www.notion.so/f_regime_trend_adx14-27746556b91c8055a0b1dd34852e4ab6?pvs=21), f_regime_bull_ema200 (https://www.notion.so/f_regime_bull_ema200-27746556b91c8011a87bf68074a81520?pvs=21), f_regime_highvol_atr14 (https://www.notion.so/f_regime_highvol_atr14-27746556b91c804d8ac5ded486775cf1?pvs=21)",EXP_0008 (https://www.notion.so/EXP_0008-27e46556b91c80b0a877e0ee70fe6de6?pvs=21)
fset-7,"f_adx_14,f_atr_14_pct,f_bandwidth_20,f_di_diff_14,f_donchian_pos_20,f_ema20_slope,f_macd_12_26_9_hist,f_range_over_atr,f_ret_12,f_ret_24,f_return_std_20,f_roc_5,f_rolling_std_ret_5,f_vwap_dev_over_atr14,f_zscore_close_50,f_bb_squeeze_20,f_stdret20_over_atr14",17,,,"f_adx_14 (https://www.notion.so/f_adx_14-27546556b91c81afb6d3fdb78fb482dd?pvs=21), f_atr_14_pct (https://www.notion.so/f_atr_14_pct-27546556b91c817a9f94d76da3db145a?pvs=21), f_bandwidth_20 (https://www.notion.so/f_bandwidth_20-27546556b91c81a5a6efdb4b9d2295b6?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_ema20_slope (https://www.notion.so/f_ema20_slope-27546556b91c81cea42cf4e0747c996c?pvs=21), f_macd_12_26_9_hist (https://www.notion.so/f_macd_12_26_9_hist-27546556b91c81c48b63ec9b1f339f90?pvs=21), f_range_over_atr (https://www.notion.so/f_range_over_atr-27546556b91c8184890ad708f22e3bbf?pvs=21), f_ret_12 (https://www.notion.so/f_ret_12-27546556b91c8118b29fdabb2bdbb359?pvs=21), f_ret_24 (https://www.notion.so/f_ret_24-27546556b91c8130b1dae5362e86512e?pvs=21), f_return_std_20 (https://www.notion.so/f_return_std_20-27546556b91c818595a8fd45b81ec95d?pvs=21), f_roc_5 (https://www.notion.so/f_roc_5-27546556b91c8187998fdc347c5ce7c2?pvs=21), f_rolling_std_ret_5 (https://www.notion.so/f_rolling_std_ret_5-27546556b91c818ca27de910d8566fd3?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21), f_bb_squeeze_20 (https://www.notion.so/f_bb_squeeze_20-27746556b91c80a589ffe722a1b90bce?pvs=21), f_stdret20_over_atr14 (https://www.notion.so/f_stdret20_over_atr14-27746556b91c808e8016e746d3be6940?pvs=21)",EXP_0009 (https://www.notion.so/EXP_0009-27e46556b91c8064b855f01acf1626f9?pvs=21)
fset-8,"f_adx_14,f_atr_14_pct,f_bandwidth_20,f_di_diff_14,f_donchian_pos_20,f_ema20_slope,f_macd_12_26_9_hist,f_range_over_atr,f_ret_12,f_ret_24,f_return_std_20,f_roc_5,f_rolling_std_ret_5,f_vwap_dev_over_atr14,f_zscore_close_50,f_rolling_skew_ret_20,f_rolling_kurt_ret_20,f_autocorr_ret1_lag1,f_autocorr_ret1_lag2,f_autocorr_ret1_lag3,f_autocorr_ret1_lag4,f_autocorr_ret1_lag5",22,,,"f_adx_14 (https://www.notion.so/f_adx_14-27546556b91c81afb6d3fdb78fb482dd?pvs=21), f_atr_14_pct (https://www.notion.so/f_atr_14_pct-27546556b91c817a9f94d76da3db145a?pvs=21), f_bandwidth_20 (https://www.notion.so/f_bandwidth_20-27546556b91c81a5a6efdb4b9d2295b6?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_ema20_slope (https://www.notion.so/f_ema20_slope-27546556b91c81cea42cf4e0747c996c?pvs=21), f_macd_12_26_9_hist (https://www.notion.so/f_macd_12_26_9_hist-27546556b91c81c48b63ec9b1f339f90?pvs=21), f_range_over_atr (https://www.notion.so/f_range_over_atr-27546556b91c8184890ad708f22e3bbf?pvs=21), f_ret_12 (https://www.notion.so/f_ret_12-27546556b91c8118b29fdabb2bdbb359?pvs=21), f_ret_24 (https://www.notion.so/f_ret_24-27546556b91c8130b1dae5362e86512e?pvs=21), f_return_std_20 (https://www.notion.so/f_return_std_20-27546556b91c818595a8fd45b81ec95d?pvs=21), f_roc_5 (https://www.notion.so/f_roc_5-27546556b91c8187998fdc347c5ce7c2?pvs=21), f_rolling_std_ret_5 (https://www.notion.so/f_rolling_std_ret_5-27546556b91c818ca27de910d8566fd3?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21), f_rolling_skew_ret_20 (https://www.notion.so/f_rolling_skew_ret_20-27746556b91c806b80d7c06c5897ec1b?pvs=21), f_rolling_kurt_ret_20 (https://www.notion.so/f_rolling_kurt_ret_20-27746556b91c8022b23bc3f951bb3ec0?pvs=21), f_autocorr_ret1_lag1 (https://www.notion.so/f_autocorr_ret1_lag1-27746556b91c802e841aea5828d0b7b9?pvs=21), f_autocorr_ret1_lag2 (https://www.notion.so/f_autocorr_ret1_lag2-27746556b91c801da5cec2e63921894c?pvs=21), f_autocorr_ret1_lag3 (https://www.notion.so/f_autocorr_ret1_lag3-27746556b91c806ebee6ddb4fd6960c7?pvs=21), f_autocorr_ret1_lag4 (https://www.notion.so/f_autocorr_ret1_lag4-27746556b91c806dabdfce380d3c4baf?pvs=21), f_autocorr_ret1_lag5 (https://www.notion.so/f_autocorr_ret1_lag5-27746556b91c80c6bb13d9ee382dc0f6?pvs=21)",EXP_0010 (https://www.notion.so/EXP_0010-27e46556b91c8079ac19d651f3987b07?pvs=21)
fset-9,"f_adx_14,f_atr_14_pct,f_bandwidth_20,f_di_diff_14,f_donchian_pos_20,f_ema20_slope,f_macd_12_26_9_hist,f_range_over_atr,f_ret_12,f_ret_24,f_return_std_20,f_roc_5,f_rolling_std_ret_5,f_vwap_dev_over_atr14,f_zscore_close_50,f_donchian_dist_upper_20_over_atr14,f_donchian_dist_lower_20_over_atr14,f_bars_since_upper_break_20,f_bars_since_lower_break_20",19,,,"f_adx_14 (https://www.notion.so/f_adx_14-27546556b91c81afb6d3fdb78fb482dd?pvs=21), f_atr_14_pct (https://www.notion.so/f_atr_14_pct-27546556b91c817a9f94d76da3db145a?pvs=21), f_bandwidth_20 (https://www.notion.so/f_bandwidth_20-27546556b91c81a5a6efdb4b9d2295b6?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_ema20_slope (https://www.notion.so/f_ema20_slope-27546556b91c81cea42cf4e0747c996c?pvs=21), f_macd_12_26_9_hist (https://www.notion.so/f_macd_12_26_9_hist-27546556b91c81c48b63ec9b1f339f90?pvs=21), f_range_over_atr (https://www.notion.so/f_range_over_atr-27546556b91c8184890ad708f22e3bbf?pvs=21), f_ret_12 (https://www.notion.so/f_ret_12-27546556b91c8118b29fdabb2bdbb359?pvs=21), f_ret_24 (https://www.notion.so/f_ret_24-27546556b91c8130b1dae5362e86512e?pvs=21), f_return_std_20 (https://www.notion.so/f_return_std_20-27546556b91c818595a8fd45b81ec95d?pvs=21), f_roc_5 (https://www.notion.so/f_roc_5-27546556b91c8187998fdc347c5ce7c2?pvs=21), f_rolling_std_ret_5 (https://www.notion.so/f_rolling_std_ret_5-27546556b91c818ca27de910d8566fd3?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21), f_donchian_dist_upper_20_over_atr14 (https://www.notion.so/f_donchian_dist_upper_20_over_atr14-27746556b91c80398838f286080ffd09?pvs=21), f_donchian_dist_lower_20_over_atr14 (https://www.notion.so/f_donchian_dist_lower_20_over_atr14-27746556b91c80908c3dfd36ce130267?pvs=21), f_bars_since_upper_break_20 (https://www.notion.so/f_bars_since_upper_break_20-27746556b91c80bab837f2e2533e62f1?pvs=21), f_bars_since_lower_break_20 (https://www.notion.so/f_bars_since_lower_break_20-27746556b91c806699afcf816da89d74?pvs=21)",EXP_0011 (https://www.notion.so/EXP_0011-27e46556b91c80b4b457d91acab70192?pvs=21)
fset-10,"f_adx_14,f_atr_14_pct,f_bandwidth_20,f_di_diff_14,f_donchian_pos_20,f_ema20_slope,f_macd_12_26_9_hist,f_range_over_atr,f_ret_12,f_ret_24,f_return_std_20,f_roc_5,f_rolling_std_ret_5,f_vwap_dev_over_atr14,f_zscore_close_50,f_sess_london_open,f_sess_ny_open,f_sess_overlap",18,,,"f_adx_14 (https://www.notion.so/f_adx_14-27546556b91c81afb6d3fdb78fb482dd?pvs=21), f_atr_14_pct (https://www.notion.so/f_atr_14_pct-27546556b91c817a9f94d76da3db145a?pvs=21), f_bandwidth_20 (https://www.notion.so/f_bandwidth_20-27546556b91c81a5a6efdb4b9d2295b6?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_ema20_slope (https://www.notion.so/f_ema20_slope-27546556b91c81cea42cf4e0747c996c?pvs=21), f_macd_12_26_9_hist (https://www.notion.so/f_macd_12_26_9_hist-27546556b91c81c48b63ec9b1f339f90?pvs=21), f_range_over_atr (https://www.notion.so/f_range_over_atr-27546556b91c8184890ad708f22e3bbf?pvs=21), f_ret_12 (https://www.notion.so/f_ret_12-27546556b91c8118b29fdabb2bdbb359?pvs=21), f_ret_24 (https://www.notion.so/f_ret_24-27546556b91c8130b1dae5362e86512e?pvs=21), f_return_std_20 (https://www.notion.so/f_return_std_20-27546556b91c818595a8fd45b81ec95d?pvs=21), f_roc_5 (https://www.notion.so/f_roc_5-27546556b91c8187998fdc347c5ce7c2?pvs=21), f_rolling_std_ret_5 (https://www.notion.so/f_rolling_std_ret_5-27546556b91c818ca27de910d8566fd3?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21), f_sess_london_open (https://www.notion.so/f_sess_london_open-27746556b91c805d9de9ed253a4fb1f3?pvs=21), f_sess_ny_open (https://www.notion.so/f_sess_ny_open-27746556b91c80079b41c61cc255a265?pvs=21), f_sess_overlap (https://www.notion.so/f_sess_overlap-27746556b91c805192a4dec0520624cd?pvs=21)",EXP_0012 (https://www.notion.so/EXP_0012-27e46556b91c8078a3cbd1bd63571ed8?pvs=21)
fset-11,"f_adx_14,f_atr_14_pct,f_bandwidth_20,f_di_diff_14,f_donchian_pos_20,f_ema20_slope,f_macd_12_26_9_hist,f_range_over_atr,f_ret_12,f_ret_24,f_return_std_20,f_roc_5,f_rolling_std_ret_5,f_vwap_dev_over_atr14,f_zscore_close_50,f_regime_trend_adx14,f_regime_bull_ema200,f_regime_highvol_atr14,f_bb_squeeze_20,f_stdret20_over_atr14",20,,,"f_adx_14 (https://www.notion.so/f_adx_14-27546556b91c81afb6d3fdb78fb482dd?pvs=21), f_atr_14_pct (https://www.notion.so/f_atr_14_pct-27546556b91c817a9f94d76da3db145a?pvs=21), f_bandwidth_20 (https://www.notion.so/f_bandwidth_20-27546556b91c81a5a6efdb4b9d2295b6?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_ema20_slope (https://www.notion.so/f_ema20_slope-27546556b91c81cea42cf4e0747c996c?pvs=21), f_macd_12_26_9_hist (https://www.notion.so/f_macd_12_26_9_hist-27546556b91c81c48b63ec9b1f339f90?pvs=21), f_range_over_atr (https://www.notion.so/f_range_over_atr-27546556b91c8184890ad708f22e3bbf?pvs=21), f_ret_12 (https://www.notion.so/f_ret_12-27546556b91c8118b29fdabb2bdbb359?pvs=21), f_ret_24 (https://www.notion.so/f_ret_24-27546556b91c8130b1dae5362e86512e?pvs=21), f_return_std_20 (https://www.notion.so/f_return_std_20-27546556b91c818595a8fd45b81ec95d?pvs=21), f_roc_5 (https://www.notion.so/f_roc_5-27546556b91c8187998fdc347c5ce7c2?pvs=21), f_rolling_std_ret_5 (https://www.notion.so/f_rolling_std_ret_5-27546556b91c818ca27de910d8566fd3?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21), f_regime_trend_adx14 (https://www.notion.so/f_regime_trend_adx14-27746556b91c8055a0b1dd34852e4ab6?pvs=21), f_regime_bull_ema200 (https://www.notion.so/f_regime_bull_ema200-27746556b91c8011a87bf68074a81520?pvs=21), f_regime_highvol_atr14 (https://www.notion.so/f_regime_highvol_atr14-27746556b91c804d8ac5ded486775cf1?pvs=21), f_bb_squeeze_20 (https://www.notion.so/f_bb_squeeze_20-27746556b91c80a589ffe722a1b90bce?pvs=21), f_stdret20_over_atr14 (https://www.notion.so/f_stdret20_over_atr14-27746556b91c808e8016e746d3be6940?pvs=21)",EXP_0013 (https://www.notion.so/EXP_0013-27e46556b91c801ca7d9e02a7111d797?pvs=21)
fset-12,"f_adx_14,f_atr_14_pct,f_bandwidth_20,f_di_diff_14,f_donchian_pos_20,f_ema20_slope,f_macd_12_26_9_hist,f_range_over_atr,f_ret_12,f_ret_24,f_return_std_20,f_roc_5,f_rolling_std_ret_5,f_vwap_dev_over_atr14,f_zscore_close_50,f_donchian_dist_upper_20_over_atr14,f_donchian_dist_lower_20_over_atr14,f_bars_since_upper_break_20,f_bars_since_lower_break_20,f_sess_london_open,f_sess_ny_open,f_sess_overlap",22,,,"f_adx_14 (https://www.notion.so/f_adx_14-27546556b91c81afb6d3fdb78fb482dd?pvs=21), f_atr_14_pct (https://www.notion.so/f_atr_14_pct-27546556b91c817a9f94d76da3db145a?pvs=21), f_bandwidth_20 (https://www.notion.so/f_bandwidth_20-27546556b91c81a5a6efdb4b9d2295b6?pvs=21), f_di_diff_14 (https://www.notion.so/f_di_diff_14-27546556b91c8142a867f8e0197714cc?pvs=21), f_donchian_pos_20 (https://www.notion.so/f_donchian_pos_20-27546556b91c81b4866acd002af3386c?pvs=21), f_ema20_slope (https://www.notion.so/f_ema20_slope-27546556b91c81cea42cf4e0747c996c?pvs=21), f_macd_12_26_9_hist (https://www.notion.so/f_macd_12_26_9_hist-27546556b91c81c48b63ec9b1f339f90?pvs=21), f_range_over_atr (https://www.notion.so/f_range_over_atr-27546556b91c8184890ad708f22e3bbf?pvs=21), f_ret_12 (https://www.notion.so/f_ret_12-27546556b91c8118b29fdabb2bdbb359?pvs=21), f_ret_24 (https://www.notion.so/f_ret_24-27546556b91c8130b1dae5362e86512e?pvs=21), f_return_std_20 (https://www.notion.so/f_return_std_20-27546556b91c818595a8fd45b81ec95d?pvs=21), f_roc_5 (https://www.notion.so/f_roc_5-27546556b91c8187998fdc347c5ce7c2?pvs=21), f_rolling_std_ret_5 (https://www.notion.so/f_rolling_std_ret_5-27546556b91c818ca27de910d8566fd3?pvs=21), f_vwap_dev_over_atr14 (https://www.notion.so/f_vwap_dev_over_atr14-27546556b91c81aeba2bdd302d7c4f67?pvs=21), f_zscore_close_50 (https://www.notion.so/f_zscore_close_50-27546556b91c810388c4c6f6a326e1f5?pvs=21), f_donchian_dist_upper_20_over_atr14 (https://www.notion.so/f_donchian_dist_upper_20_over_atr14-27746556b91c80398838f286080ffd09?pvs=21), f_donchian_dist_lower_20_over_atr14 (https://www.notion.so/f_donchian_dist_lower_20_over_atr14-27746556b91c80908c3dfd36ce130267?pvs=21), f_bars_since_upper_break_20 (https://www.notion.so/f_bars_since_upper_break_20-27746556b91c80bab837f2e2533e62f1?pvs=21), f_bars_since_lower_break_20 (https://www.notion.so/f_bars_since_lower_break_20-27746556b91c806699afcf816da89d74?pvs=21), f_sess_london_open (https://www.notion.so/f_sess_london_open-27746556b91c805d9de9ed253a4fb1f3?pvs=21), f_sess_ny_open (https://www.notion.so/f_sess_ny_open-27746556b91c80079b41c61cc255a265?pvs=21), f_sess_overlap (https://www.notion.so/f_sess_overlap-27746556b91c805192a4dec0520624cd?pvs=21)",EXP_0014 (https://www.notion.so/EXP_0014-27e46556b91c80a28246e8aee1b6a34a?pvs=21)